Time	Iteration	AverageReturn1	StdReturn1	MaxReturn1	MinReturn1	AverageReturn2	StdReturn2	MaxReturn2	MinReturn2	AverageTotalReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
5.33767294883728	0	-341.809692374	48.9976794107	-178.298781341	-458.698399197	-95.8774187882	75.9021815017	100.628864116	-317.392223228	-437.687111163	89.137850784	-231.290450791	-685.848529646	10.0	0.0	257	257	2570	2570
8.087705373764038	1	-312.921519049	49.0730779148	-179.707206762	-458.023328593	-92.3955758755	79.9593413961	151.60180797	-301.798975154	-405.317094925	88.6996581398	-155.143767683	-620.037065421	10.0	0.0	257	514	2570	5140
10.540863752365112	2	-281.620214041	46.4288902504	-159.050339411	-402.656027505	-71.2616236472	85.0543311839	187.641170489	-294.430868667	-352.881837689	87.6772435933	-98.5328317907	-559.721948517	10.0	0.0	257	771	2570	7710
13.009637117385864	3	-256.565578119	45.480602902	-132.510697575	-385.129185321	-60.721229021	86.3288075646	184.328114965	-316.752860999	-317.28680714	90.2017926253	-29.833665952	-595.739780616	10.0	0.0	257	1028	2570	10280
15.525287866592407	4	-231.353770154	47.0177297831	-63.7984902343	-359.355267292	-38.6955729337	95.0924582009	260.728513988	-325.581267207	-270.049343087	90.2569376044	26.2374311271	-494.929682459	10.0	0.0	257	1285	2570	12850
18.04092812538147	5	-214.059422489	50.7334514496	-72.3783563977	-356.358921968	-19.9963809282	83.0331344062	188.394376617	-224.446465503	-234.055803418	84.9567198992	-10.577197394	-456.341829002	10.0	0.0	257	1542	2570	15420
20.572208166122437	6	-191.634986256	53.1813496134	-41.7254096307	-336.378442944	-13.172262126	83.9943077733	226.446610797	-291.746027458	-204.807248383	86.8083635025	44.2006488865	-468.900043895	10.0	0.0	257	1799	2570	17990
23.009751558303833	7	-165.722296025	48.1724347327	-31.0356609662	-294.242060237	-2.56133436763	89.613257462	247.73485257	-188.089127419	-168.283630393	84.1521349264	53.6095061058	-372.00665452	10.0	0.0	257	2056	2570	20560
25.416030406951904	8	-148.951540972	47.7908553869	-34.0247705937	-323.420124021	15.390027971	87.5236021579	286.390326941	-196.306249779	-133.561513001	82.6794991355	65.0521683637	-332.727742551	10.0	0.0	257	2313	2570	23130
27.85355854034424	9	-130.219368742	47.9078947122	21.3481573375	-268.818878183	13.4167408379	88.5461950661	249.690412017	-246.317291317	-116.802627904	81.5388164218	89.2068924658	-347.084715841	10.0	0.0	257	2570	2570	25700
30.322336673736572	10	-111.511579149	52.8313128044	62.6013533517	-274.346606071	28.2637971422	91.1277160995	261.840606532	-196.028027565	-83.2477820069	79.7479948469	101.183404281	-335.730694313	10.0	0.0	257	2827	2570	28270
32.759865283966064	11	-92.102063675	48.9723538477	68.3521642592	-230.198938629	31.3170210463	88.5624681308	284.995949245	-230.600880403	-60.7850426286	82.162250934	143.223490293	-253.873007509	10.0	0.0	257	3084	2570	30840
35.22864317893982	12	-75.1756245851	55.2437803959	127.297090554	-217.796367683	36.574082724	88.7011806249	228.374270962	-191.119219327	-38.6015418611	82.5236313102	147.209222794	-297.572556393	10.0	0.0	257	3341	2570	33410
37.69736433029175	13	-49.5055650474	53.2116759026	103.141533342	-187.037575618	42.5897749579	90.4791833999	267.671489493	-211.594726515	-6.91579008946	81.1831516592	203.215613328	-243.939288393	10.0	0.0	257	3598	2570	35980
40.172278881073	14	-32.9605502282	56.4696404587	137.119972745	-158.40430077	38.4171619773	90.9009693989	243.685878956	-211.914802271	5.45661174912	79.6543250877	193.438656162	-190.392661304	10.0	0.0	257	3855	2570	38550
42.594183683395386	15	-9.31340515937	57.2343578082	132.072755262	-146.29160853	52.0102119925	88.2378228136	232.005631753	-216.772190376	42.6968068331	80.6716984684	216.565555404	-282.434748782	10.0	0.0	257	4112	2570	41120
45.07858681678772	16	5.29621347586	55.440705297	149.960038145	-121.024926064	47.3958219637	88.2395744418	245.504934802	-236.691530915	52.6920354395	79.4472939341	242.712551028	-125.062523606	10.0	0.0	257	4369	2570	43690
47.53173875808716	17	27.7659601984	58.4755797171	195.449352076	-137.553823573	49.578397299	86.0037434797	248.094174958	-237.950513113	77.3443574974	79.6997285352	269.400415856	-214.791849176	10.0	0.0	257	4626	2570	46260
49.98489212989807	18	52.4669009872	59.9136976462	191.652410049	-100.889499121	52.0901595831	80.2332910329	253.789529642	-157.087169865	104.55706057	73.0290169349	265.100114396	-171.826302158	10.0	0.0	257	4883	2570	48830
52.391170024871826	19	64.8298492662	59.7137360524	206.813758906	-126.447045486	48.8440817542	87.9769841687	211.214071233	-196.626651647	113.67393102	77.1285229252	281.817856639	-176.190197854	10.0	0.0	257	5140	2570	51400
54.797447681427	20	83.2832679611	55.7064171899	200.562443073	-68.3063543668	50.0533381882	79.5851220602	214.208481593	-208.014580832	133.336606149	76.6473771815	305.807076311	-195.142745294	10.0	0.0	257	5397	2570	53970
57.25060153007507	21	99.1718119409	53.3888698533	206.807725922	-82.39652711	43.0975404881	73.3401912521	188.998395321	-241.975062721	142.269352429	68.6009268844	296.880955672	-56.0131668934	10.0	0.0	257	5654	2570	56540
