Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
1.3249497413635254	0	-771.793703427	87.7009666835	-565.647649029	-960.639253244	20.0	0.0	65	65	1300	1300
1.9865164756774902	1	-736.847906204	87.9648209432	-554.269028092	-950.715836559	20.0	0.0	65	130	1300	2600
2.285727024078369	2	-728.61080221	94.0516498218	-473.703597397	-916.263002247	20.0	0.0	65	195	1300	3900
2.584937810897827	3	-675.391204817	75.6308463124	-498.960721758	-918.801121757	20.0	0.0	65	260	1300	5200
2.883147716522217	4	-655.97056314	92.1825644305	-492.100308888	-905.907190636	20.0	0.0	65	325	1300	6500
3.2073769569396973	5	-621.073985061	86.523070355	-430.164897647	-849.662427258	20.0	0.0	65	390	1300	7800
3.5306053161621094	6	-605.472344976	75.8382150714	-444.706865688	-820.440442338	20.0	0.0	65	455	1300	9100
3.8338205814361572	7	-565.358831461	84.8511885055	-394.62767552	-876.556870335	20.0	0.0	65	520	1300	10400
4.133031606674194	8	-539.748290643	69.7563852901	-391.668921787	-665.249275414	20.0	0.0	65	585	1300	11700
4.430241107940674	9	-511.510174549	87.1860486735	-387.502549279	-748.014651361	20.0	0.0	65	650	1300	13000
4.73750376701355	10	-506.631874019	73.9976916424	-345.599977423	-676.853588974	20.0	0.0	65	715	1300	14300
5.0387282371521	11	-472.633894472	69.635085684	-266.52553105	-639.075238024	20.0	0.0	65	780	1300	15600
5.340933799743652	12	-464.504598388	75.7041449646	-305.161300862	-682.057914408	20.0	0.0	65	845	1300	16900
5.638136386871338	13	-426.533577204	63.6369888305	-287.095091147	-549.269366466	20.0	0.0	65	910	1300	18200
5.937358617782593	14	-424.624447167	61.9418032011	-273.951670006	-614.752578283	20.0	0.0	65	975	1300	19500
6.240560293197632	15	-420.587965408	71.4145674752	-293.68533944	-614.960718383	20.0	0.0	65	1040	1300	20800
6.543773651123047	16	-408.432521688	65.563566659	-280.046209794	-551.24928685	20.0	0.0	65	1105	1300	22100
6.856995582580566	17	-365.789015336	54.0084383469	-261.434134172	-510.400654062	20.0	0.0	65	1170	1300	23400
7.1602208614349365	18	-363.931484819	57.8432456431	-224.351976397	-515.576171883	20.0	0.0	65	1235	1300	24700
7.459433078765869	19	-320.507542547	63.5627451326	-133.384229219	-465.902866745	20.0	0.0	65	1300	1300	26000
7.761646509170532	20	-306.930755019	52.4842699971	-182.80943881	-475.026784849	20.0	0.0	65	1365	1300	27300
8.060858011245728	21	-309.373680208	58.7956721522	-188.282062644	-465.325937352	20.0	0.0	65	1430	1300	28600
8.358068943023682	22	-287.374799478	74.424110848	-104.457990172	-460.070466484	20.0	0.0	65	1495	1300	29900
8.67330551147461	23	-259.513784326	60.340966955	-132.338133491	-427.727924503	20.0	0.0	65	1560	1300	31200
8.967529535293579	24	-232.789419904	56.1405165508	-123.303137662	-406.685251198	20.0	0.0	65	1625	1300	32500
9.28176498413086	25	-210.34825543	52.6198192296	-67.9566679928	-337.915562159	20.0	0.0	65	1690	1300	33800
9.583965301513672	26	-187.915461803	47.6967253385	-51.7899497943	-283.464064827	20.0	0.0	65	1755	1300	35100
9.895200252532959	27	-162.80824905	61.6953230805	1.53022214783	-321.096333283	20.0	0.0	65	1820	1300	36400
10.195411205291748	28	-131.873110272	53.473514964	-6.15410041242	-272.850635862	20.0	0.0	65	1885	1300	37700
10.502627611160278	29	-113.747286845	56.6387951597	-3.26673208853	-265.247874698	20.0	0.0	65	1950	1300	39000
10.810842752456665	30	-90.3414012743	57.5373039202	22.5623123189	-263.971244955	20.0	0.0	65	2015	1300	40300
11.112058162689209	31	-52.579246346	50.30149933	53.7827638709	-174.002270671	20.0	0.0	65	2080	1300	41600
11.414273500442505	32	-45.0431713169	61.4968640713	57.7450196393	-305.418475999	20.0	0.0	65	2145	1300	42900
11.708484172821045	33	-5.88414956513	50.6206530632	76.0573969552	-173.742145508	20.0	0.0	65	2210	1300	44200
12.01770305633545	34	1.71545438633	56.4744068363	108.975977244	-155.774048556	20.0	0.0	65	2275	1300	45500
12.328913688659668	35	32.9803667763	41.2874990256	112.640958635	-74.1109479902	20.0	0.0	65	2340	1300	46800
