Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
0.9402387142181396	0	-867.971813133	61.1428172707	-735.595857163	-1007.01819041	20.0	0.0	51	51	1020	1020
1.2827320098876953	1	-853.648740316	68.9060738917	-720.054408574	-1020.64957656	20.0	0.0	51	102	1020	2040
1.481868028640747	2	-838.460383994	64.3175732196	-692.576908799	-973.380605499	20.0	0.0	51	153	1020	3060
1.6800036430358887	3	-838.05595816	91.9070431593	-618.009729776	-1041.63237581	20.0	0.0	51	204	1020	4080
1.8761365413665771	4	-825.68709259	85.8831668744	-575.659989636	-985.296731319	20.0	0.0	51	255	1020	5100
2.0712709426879883	5	-769.796380926	78.4869852098	-608.324655848	-959.993938551	20.0	0.0	51	306	1020	6120
2.2674036026000977	6	-751.378198392	75.9283648722	-638.225033267	-929.490123858	20.0	0.0	51	357	1020	7140
2.4635367393493652	7	-743.371875656	93.1770465483	-558.987456331	-904.846088818	20.0	0.0	51	408	1020	8160
2.661719799041748	8	-702.913765335	89.5884859505	-525.155268969	-921.801326909	20.0	0.0	51	459	1020	9180
2.8568460941314697	9	-675.432701171	87.2365185074	-529.097193345	-859.806637438	20.0	0.0	51	510	1020	10200
3.0529916286468506	10	-658.287398578	99.9949164206	-463.616189799	-867.390584615	20.0	0.0	51	561	1020	11220
3.254124879837036	11	-627.169038367	90.6915638921	-461.056330395	-785.013533633	20.0	0.0	51	612	1020	12240
3.452258586883545	12	-607.230995263	99.5573611895	-444.415861478	-825.29918453	20.0	0.0	51	663	1020	13260
3.648397445678711	13	-587.90802788	116.870581004	-405.268925692	-840.354484611	20.0	0.0	51	714	1020	14280
3.8445308208465576	14	-539.42451387	102.437980534	-398.150934827	-805.121954816	20.0	0.0	51	765	1020	15300
4.038661003112793	15	-545.577812584	103.673207383	-369.689494954	-804.445273802	20.0	0.0	51	816	1020	16320
4.2348010540008545	16	-554.019890921	125.800816653	-361.561706402	-815.358855174	20.0	0.0	51	867	1020	17340
4.430933475494385	17	-500.405257928	114.084582793	-315.448881221	-794.936140388	20.0	0.0	51	918	1020	18360
4.628068208694458	18	-474.324196418	129.095678091	-302.744056572	-728.496367398	20.0	0.0	51	969	1020	19380
4.827203989028931	19	-465.493724385	126.951984414	-275.837818831	-736.571355313	20.0	0.0	51	1020	1020	20400
5.024338245391846	20	-406.393565906	112.907619952	-257.869264998	-663.471750453	20.0	0.0	51	1071	1020	21420
5.221473693847656	21	-418.930697942	132.07889815	-224.519584173	-668.458999264	20.0	0.0	51	1122	1020	22440
5.419607877731323	22	-368.707729739	117.931919059	-216.341231801	-648.529887803	20.0	0.0	51	1173	1020	23460
5.61273980140686	23	-361.64002873	111.116694487	-187.205951298	-556.738012014	20.0	0.0	51	1224	1020	24480
5.811875104904175	24	-323.93827609	118.966003995	-182.716983153	-617.080738996	20.0	0.0	51	1275	1020	25500
6.0170159339904785	25	-323.029884522	131.300809623	-73.3295130619	-575.206273175	20.0	0.0	51	1326	1020	26520
6.217151403427124	26	-299.161291726	127.927579091	-152.935209979	-623.447948432	20.0	0.0	51	1377	1020	27540
6.415287256240845	27	-257.603723603	106.688076898	-91.7476574937	-564.286042329	20.0	0.0	51	1428	1020	28560
6.608417749404907	28	-239.917626038	130.234772129	-51.8328418665	-552.292506755	20.0	0.0	51	1479	1020	29580
6.807553768157959	29	-202.285769897	122.941675697	-81.998459644	-552.550875806	20.0	0.0	51	1530	1020	30600
7.006689548492432	30	-187.194833664	107.371007981	-69.8111512848	-502.850047298	20.0	0.0	51	1581	1020	31620
7.201822519302368	31	-196.530170389	139.684471871	-13.4661503765	-542.915460031	20.0	0.0	51	1632	1020	32640
7.40195894241333	32	-148.163048717	96.2866987169	-32.7014072882	-433.120779952	20.0	0.0	51	1683	1020	33660
7.599093437194824	33	-141.87757606	124.041415424	-7.25884080164	-535.554926934	20.0	0.0	51	1734	1020	34680
7.7972283363342285	34	-130.480272872	112.830209898	2.97161094105	-458.118462308	20.0	0.0	51	1785	1020	35700
7.992361545562744	35	-108.5007057	111.92998313	20.2859900522	-434.732426378	20.0	0.0	51	1836	1020	36720
8.18749475479126	36	-117.482577372	127.263461216	25.0317973119	-455.330986637	20.0	0.0	51	1887	1020	37740
8.383627653121948	37	-84.3306539391	107.464830853	32.1343474951	-416.879163283	20.0	0.0	51	1938	1020	38760
8.579761743545532	38	-46.9237338948	84.4097137153	50.4454288743	-385.95454015	20.0	0.0	51	1989	1020	39780
8.776896238327026	39	-55.9417814602	103.354771775	54.0002743676	-357.431193929	20.0	0.0	51	2040	1020	40800
8.972029209136963	40	-11.385652005	62.8232846758	75.9198497337	-303.800242075	20.0	0.0	51	2091	1020	41820
9.167162656784058	41	4.69744331444	66.6397110949	84.8818680783	-334.305044749	20.0	0.0	51	2142	1020	42840
9.36429738998413	42	-8.90222470842	104.809452938	123.782324591	-372.139433983	20.0	0.0	51	2193	1020	43860
9.560430765151978	43	17.3399885222	73.2576502944	113.065387617	-244.201047572	20.0	0.0	51	2244	1020	44880
9.75856614112854	44	32.8694317375	81.8792643136	112.542158261	-346.837821198	20.0	0.0	51	2295	1020	45900
9.959702491760254	45	58.8755113088	35.7860921134	105.702852008	-89.1943462603	20.0	0.0	51	2346	1020	46920
10.160839557647705	46	72.3384637777	38.0123315742	132.257415542	-43.0518744258	20.0	0.0	51	2397	1020	47940
