Time	Iteration	AverageReturn1	StdReturn1	MaxReturn1	MinReturn1	AverageReturn2	StdReturn2	MaxReturn2	MinReturn2	AverageTotalReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
4.857664108276367	0	-510.093942741	87.2765182343	-289.359107933	-694.30193971	-552.277764089	78.5824638872	-304.791745712	-693.952465325	-1062.37170683	116.590463563	-799.802111379	-1348.03771207	20.0	0.0	129	129	2580	2580
7.129288196563721	1	-453.921066637	75.7059595458	-301.531688506	-661.90925903	-540.307357362	80.5344464692	-290.039259986	-727.828219971	-994.228423999	110.15279885	-730.630597495	-1233.99358847	20.0	0.0	129	258	2580	5160
9.259800434112549	2	-420.421937176	65.277874738	-277.801398349	-602.395759907	-517.001007119	84.9616570331	-245.865914704	-749.925743941	-937.422944295	107.432104183	-655.430902818	-1245.74773551	20.0	0.0	129	387	2580	7740
11.366293907165527	3	-420.452240541	66.9013877703	-265.660441898	-601.93234089	-449.266845483	91.7843334225	-202.172787842	-663.068795553	-869.719086024	112.232376234	-518.09224097	-1142.97277896	20.0	0.0	129	516	2580	10320
13.4727942943573	4	-400.518607957	60.6162408612	-225.16739893	-551.960915722	-414.882729578	90.9449446043	-191.33075919	-593.132194491	-815.401337535	98.1133066502	-537.081355006	-1023.83421118	20.0	0.0	129	645	2580	12900
15.601311445236206	5	-405.080594461	65.9814795505	-260.405447746	-590.670741754	-387.349822701	82.5784865772	-168.978357095	-556.672814655	-792.430417162	82.9215784517	-556.748643921	-1007.23014305	20.0	0.0	129	774	2580	15480
17.74384355545044	6	-415.981779803	64.6399205262	-272.573565068	-578.903859959	-352.647306308	76.5875902586	-187.216254771	-548.12842163	-768.62908611	89.6510269265	-574.799295275	-974.069720231	20.0	0.0	129	903	2580	18060
19.862345695495605	7	-424.623654291	73.8449537992	-266.047123005	-608.048194486	-353.095006921	70.4181889228	-182.090820635	-556.834447333	-777.718661213	85.592059518	-580.505517	-968.605727051	20.0	0.0	129	1032	2580	20640
21.967837810516357	8	-444.012270672	73.9425206108	-215.211288144	-619.739330401	-332.024150291	59.6056602098	-208.176660496	-544.442457285	-776.036420963	88.4369469164	-544.503291624	-979.792766124	20.0	0.0	129	1161	2580	23220
24.08541440963745	9	-454.092863048	77.724363013	-290.746039491	-630.240521811	-333.186831992	58.4138319696	-192.463613815	-481.753204703	-787.27969504	91.2001012686	-563.851251122	-1025.01629319	20.0	0.0	129	1290	2580	25800
26.218939304351807	10	-464.890003709	77.6629223312	-279.213254395	-657.757605409	-331.92205581	55.2776397592	-213.428987399	-540.878398082	-796.812059518	89.3582073402	-594.80639765	-1016.73847465	20.0	0.0	129	1419	2580	28380
28.342432498931885	11	-479.751523855	69.2019884723	-309.398204792	-662.421619449	-318.315005143	49.5695259205	-202.587830867	-457.226736708	-798.066528997	82.5066344245	-600.430344323	-986.609784003	20.0	0.0	129	1548	2580	30960
30.471951723098755	12	-490.681631638	74.9925732329	-220.885828268	-650.207041411	-316.926778187	57.190955296	-191.81385128	-446.878174143	-807.608409825	82.5592081491	-599.248793767	-969.868590426	20.0	0.0	129	1677	2580	33540
32.602466106414795	13	-492.403910567	64.5990774673	-262.194008267	-641.442685795	-312.908025383	52.1764629394	-190.568614813	-492.549346239	-805.311935951	78.4927804392	-584.126700097	-988.831294024	20.0	0.0	129	1806	2580	36120
34.754977226257324	14	-500.994209275	59.9699576475	-312.139498028	-667.518586802	-309.098232957	51.2983782697	-144.857015743	-441.433860308	-810.092442232	81.646173181	-560.685880945	-986.883913976	20.0	0.0	129	1935	2580	38700
36.90850567817688	15	-494.054928222	58.308896198	-320.295100219	-639.087147654	-314.201418181	54.8605324483	-194.543955854	-453.382461258	-808.256346403	74.2313303095	-625.370313952	-983.691655896	20.0	0.0	129	2064	2580	41280
39.06406760215759	16	-475.485344878	57.6122696684	-305.46328182	-620.551647606	-313.531698862	57.3212853792	-188.589429804	-476.024995935	-789.017043739	70.3118202318	-602.790591157	-954.128005915	20.0	0.0	129	2193	2580	43860
41.300665616989136	17	-475.550368098	51.7139098413	-291.185491034	-577.383572325	-311.751718427	49.4882542096	-195.458796398	-460.844506287	-787.302086525	65.3140316232	-591.402707989	-970.742201738	20.0	0.0	129	2322	2580	46440
43.5552659034729	18	-458.743749862	54.0663059843	-316.307838756	-581.738670803	-306.209297269	60.397877675	-151.973891732	-463.027346703	-764.95304713	77.9311314524	-499.746942963	-955.907224152	20.0	0.0	129	2451	2580	49020
45.77614736557007	19	-444.631331135	56.3058868138	-249.566860682	-633.842019349	-308.155568317	56.8103121508	-172.113339148	-463.982073312	-752.786899452	73.0548501315	-580.986735386	-978.400115307	20.0	0.0	129	2580	2580	51600
48.131834983825684	20	-413.625852001	52.6099753003	-239.680570418	-561.322614285	-315.734832795	57.1185659281	-181.059579137	-527.551280916	-729.360684796	75.0289554158	-540.349355065	-953.912811815	20.0	0.0	129	2709	2580	54180
50.52953267097473	21	-395.697066643	55.8207712702	-248.638099991	-546.850534847	-307.74518022	50.7810830655	-179.408925633	-440.041196688	-703.442246863	73.1570078728	-528.841556194	-869.771982308	20.0	0.0	129	2838	2580	56760
52.781113147735596	22	-366.897690272	59.5662488214	-201.0426365	-507.293885325	-307.866057606	59.6516520198	-167.51412445	-440.895999491	-674.763747877	94.28314122	-441.320274694	-894.44662369	20.0	0.0	129	2967	2580	59340
54.95265460014343	23	-337.098604246	59.6560463315	-159.173406912	-493.22157193	-313.976671955	60.1334062786	-152.861032778	-493.798364994	-651.075276201	81.1160994947	-499.86988146	-819.466641478	20.0	0.0	129	3096	2580	61920
57.10619401931763	24	-301.354471695	57.4207481913	-168.930805462	-428.225469151	-317.422183342	61.3231792784	-161.252473104	-485.295910496	-618.776655037	88.1717686123	-393.980752686	-875.460187058	20.0	0.0	129	3225	2580	64500
59.287726640701294	25	-277.629858221	57.9697136223	-151.281734693	-412.383171447	-320.460578842	64.3017043648	-142.298458371	-546.808019106	-598.090437062	87.4867954234	-365.158428042	-841.92282912	20.0	0.0	129	3354	2580	67080
61.55633544921875	26	-249.82689587	53.6667222964	-131.070090884	-441.397544489	-341.739155809	62.9806615331	-99.4277248554	-466.137718529	-591.566051679	89.7312332742	-289.599275614	-795.787586491	20.0	0.0	129	3483	2580	69660
63.85096621513367	27	-226.245713964	51.2151773085	-117.04166662	-366.803096826	-336.337048212	65.1309640014	-195.7989042	-496.978279384	-562.582762175	92.5935868609	-322.640186799	-742.581205326	20.0	0.0	129	3612	2580	72240
66.20362973213196	28	-194.778729061	48.6292479312	-83.0044727709	-321.105955826	-355.526451709	66.2833788643	-156.774432407	-522.086486859	-550.30518077	75.2341594814	-290.000804522	-700.01362544	20.0	0.0	129	3741	2580	74820
68.46023106575012	29	-166.802473438	54.2594462426	15.3503257658	-283.80855845	-366.922263124	68.6520564653	-220.452365021	-551.008909313	-533.724736562	84.5429244615	-313.642901048	-763.149117368	20.0	0.0	129	3870	2580	77400
70.64478826522827	30	-147.135215574	47.8805316269	-57.0442806349	-254.792648839	-373.501862652	82.5916907703	-181.66564286	-543.556885818	-520.637078226	93.5547767047	-272.568724211	-766.321126742	20.0	0.0	129	3999	2580	79980
72.80330920219421	31	-137.434090015	52.6475693572	-18.6922837357	-265.776633578	-374.330318899	67.4368952671	-210.922796143	-537.320944639	-511.764408914	85.3996775777	-250.887395409	-775.589063019	20.0	0.0	129	4128	2580	82560
74.98386859893799	32	-121.556114556	51.7383424989	-20.1757510956	-231.749406707	-363.513854418	94.3290591564	-174.088032357	-643.759222322	-485.069968974	96.0661326075	-233.699995829	-875.508629029	20.0	0.0	129	4257	2580	85140
77.18642997741699	33	-105.922392145	46.4946389653	21.4628625844	-263.306436673	-358.929161587	91.8478819614	-165.453757122	-583.881074345	-464.851553732	97.1226072401	-259.5637312	-739.920280073	20.0	0.0	129	4386	2580	87720
79.32493352890015	34	-96.8048659804	47.5586061543	9.35723775951	-220.034600556	-393.219456132	92.1525836306	-168.307534297	-631.867337089	-490.024322113	104.365293667	-178.583603788	-818.422061866	20.0	0.0	129	4515	2580	90300
81.43342733383179	35	-77.5370023218	45.3220268636	34.6950427147	-216.26000297	-366.218929374	98.6586109771	-186.984156228	-607.110793258	-443.755931696	108.508901058	-217.205404586	-683.878537934	20.0	0.0	129	4644	2580	92880
83.61498737335205	36	-73.6718768228	48.3001525347	40.4246755407	-234.9117247	-361.95139975	91.1080366347	-135.944685835	-598.060298154	-435.623276572	99.4838005085	-211.893036304	-682.605506998	20.0	0.0	129	4773	2580	95460
85.84355401992798	37	-66.9189579885	42.6484726324	40.5690344824	-163.425239522	-383.551412548	93.5552319966	-207.145876873	-597.390749473	-450.470370536	107.616121269	-173.610613526	-722.534435901	20.0	0.0	129	4902	2580	98040
87.96707248687744	38	-60.8725102052	44.9853318533	45.1796500237	-200.941317212	-361.750814152	94.7131633705	-213.749889116	-623.247042003	-422.623324357	110.62542941	-219.957036483	-775.336727899	20.0	0.0	129	5031	2580	100620
90.12859296798706	39	-51.1858336233	48.0591360995	65.0450311625	-201.363928827	-359.254804603	84.3138504298	-197.322761545	-617.810851919	-410.440638226	102.02924417	-187.595963199	-715.171248772	20.0	0.0	129	5160	2580	103200
92.25611448287964	40	-34.9203765662	46.4431848656	86.8350892074	-161.551729624	-356.43794056	83.8559522534	-205.321787151	-645.514259133	-391.358317126	104.254910383	-201.40612512	-707.445613957	20.0	0.0	129	5289	2580	105780
94.43064284324646	41	-31.9235516268	40.8063725519	49.1653174284	-148.042755521	-350.735185986	77.1542606278	-224.567893812	-575.372255554	-382.658737612	91.8963347772	-206.249038765	-687.13491753	20.0	0.0	129	5418	2580	108360
96.61820578575134	42	-25.3865943341	41.2589113113	74.436505301	-113.260505812	-338.852915052	80.4845115341	-176.111012743	-599.658672649	-364.239509386	92.0563876237	-188.606326423	-656.963308043	20.0	0.0	129	5547	2580	110940
98.78974795341492	43	-27.7999310792	39.542830977	72.3492939319	-124.00682788	-336.912654313	71.635479918	-200.993200139	-564.964588112	-364.712585392	88.0555313315	-183.471856234	-558.888514422	20.0	0.0	129	5676	2580	113520
100.92124366760254	44	-13.9726459097	39.7743898655	92.5181748085	-117.032502666	-346.866874263	70.4892274324	-196.956648708	-543.370758199	-360.839520173	85.7955908887	-159.20899256	-608.435077113	20.0	0.0	129	5805	2580	116100
103.08178925514221	45	-16.6230711916	42.4985269297	98.2288395312	-132.265861164	-349.281182083	66.8979051608	-208.035393979	-538.536612089	-365.904253274	89.8386150105	-109.806554448	-545.04760783	20.0	0.0	129	5934	2580	118680
105.2002911567688	46	0.199147755771	42.2965157038	109.487038232	-100.50643288	-346.767899604	73.0855875251	-181.686999033	-536.069335601	-346.568751849	90.7574774948	-88.3704438316	-571.865665223	20.0	0.0	129	6063	2580	121260
107.35182070732117	47	-5.08500840622	41.4631105668	98.2383646737	-115.88353299	-336.21193193	67.5374149785	-170.56707201	-521.992939407	-341.296940337	86.1328449716	-102.311023273	-541.124623712	20.0	0.0	129	6192	2580	123840
109.489333152771	48	3.44574212694	41.7548055467	123.094672795	-105.773406774	-330.017247017	64.8609900186	-181.338008533	-505.515384198	-326.57150489	82.4950914562	-117.211910089	-520.806903155	20.0	0.0	129	6321	2580	126420
111.64385867118835	49	13.9678042453	43.8527313008	122.472315325	-87.893184578	-323.682602684	58.3534165819	-204.066281442	-484.38717848	-309.714798439	82.5247568318	-110.174566532	-552.386606026	20.0	0.0	129	6450	2580	129000
113.81241965293884	50	22.6393449176	41.6066440168	107.577892171	-87.1156965599	-325.595564826	67.1102892122	-146.384134077	-547.966165969	-302.956219908	86.5693186611	-123.377662644	-550.607651081	20.0	0.0	129	6579	2580	131580
115.95896100997925	51	31.5379707282	43.2356607304	121.480963092	-80.2833180996	-332.982662601	68.1709003354	-187.278347624	-566.254863026	-301.444691872	88.8353092335	-86.0942851899	-537.654621999	20.0	0.0	129	6708	2580	134160
118.11750984191895	52	34.8486896655	44.4862313206	122.047477366	-95.9859507414	-329.018289788	64.5716727826	-186.590911575	-523.73115085	-294.169600123	84.2973519852	-103.654215257	-484.651100923	20.0	0.0	129	6837	2580	136740
120.27705979347229	53	34.6947103412	42.2535366159	132.716433212	-61.3711727238	-320.79650619	63.2063550027	-144.016722641	-505.385287087	-286.101795849	84.0714023366	-84.58931422	-505.563330042	20.0	0.0	129	6966	2580	139320
122.40256667137146	54	37.2798279101	39.4881291198	121.197998118	-98.66205443	-324.856759036	52.8247613883	-202.761771112	-509.925453915	-287.576931125	69.0561400772	-97.4698360067	-494.067710745	20.0	0.0	129	7095	2580	141900
124.5230987071991	55	38.5439399834	42.5543645491	162.974338123	-76.3316730698	-318.877254621	59.4838516701	-172.340599912	-490.304700663	-280.333314637	84.048784684	-93.5309834478	-466.836806872	20.0	0.0	129	7224	2580	144480
126.65960144996643	56	39.2110972241	43.6241522382	147.133780962	-83.8688246709	-317.618946642	56.8794853053	-180.21647807	-485.1606367	-278.407849418	77.8932977843	-129.48411212	-518.815587376	20.0	0.0	129	7353	2580	147060
128.86617827415466	57	43.86661524	41.90780293	157.68663987	-86.1254354332	-306.797019966	54.1606219832	-125.302647596	-448.881678707	-262.930404726	76.2877309403	-66.1604782001	-451.614429696	20.0	0.0	129	7482	2580	149640
130.9806649684906	58	44.2484945295	44.4509466936	167.566961494	-96.1974059149	-294.689560194	50.4457386403	-147.911610049	-410.572397289	-250.441065665	76.2401095644	-74.7351639434	-469.703964019	20.0	0.0	129	7611	2580	152220
