Time	Iteration	AverageReturn1	StdReturn1	MaxReturn1	MinReturn1	AverageReturn2	StdReturn2	MaxReturn2	MinReturn2	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
73.76668453216553	63	-66.3615248385	57.1414893705	54.6304664056	-198.930929446	56.6268690481	35.1432111575	117.654330667	-32.5151550067	20.0	0.0	65	4160	1300	83200
74.86247658729553	64	-59.4818134793	48.8939203047	41.4004227206	-205.242853942	63.0573891331	31.1645703307	114.510104426	-56.6925431158	20.0	0.0	65	4225	1300	84500
75.96429562568665	65	-59.0355344058	44.6581351035	18.9003266855	-163.07863626	61.4289332398	35.8087971829	127.098574556	-42.1708771911	20.0	0.0	65	4290	1300	85800
77.05907344818115	66	-65.9816328152	42.0996661757	26.0737405875	-189.623738017	61.7074070247	26.5815667981	135.543917379	-24.2597351726	20.0	0.0	65	4355	1300	87100
78.16085290908813	67	-77.4256194136	46.320234747	41.6200776511	-172.910946639	59.589005011	32.4825782558	128.656835214	-27.5648583817	20.0	0.0	65	4420	1300	88400
79.26163387298584	68	-70.9265722198	45.93793833	13.2892143962	-201.432340304	62.0919644341	28.2316435072	110.707816311	-11.022027765	20.0	0.0	65	4485	1300	89700
80.35641407966614	69	-76.2573382287	45.3366534667	43.6715410294	-200.725785743	59.3707785848	28.8666624297	128.543706917	-11.2332551458	20.0	0.0	65	4550	1300	91000
81.47018599510193	70	-75.5934962197	45.6046089774	24.6827162587	-188.923543323	63.3637234862	29.5082793763	130.901868396	-33.7125680987	20.0	0.0	65	4615	1300	92300
82.6000006198883	71	-73.0790070355	41.171576521	6.50951365317	-191.595930629	59.5126620027	27.7667124484	115.841291237	-2.7285120106	20.0	0.0	65	4680	1300	93600
83.70376944541931	72	-83.5280240395	36.0317522558	4.1081164853	-166.267172452	60.5739925381	27.749846975	115.868764801	-20.3098231566	20.0	0.0	65	4745	1300	94900
84.82656645774841	73	-74.9417127877	44.377642765	25.3602282139	-185.418440873	60.2561463543	26.8390342886	110.021128841	-29.2100666288	20.0	0.0	65	4810	1300	96200
85.94135618209839	74	-83.4104528136	39.795502899	6.32178934913	-188.555322914	57.6164989331	31.7832546999	123.175817381	-51.7750984297	20.0	0.0	65	4875	1300	97500
87.04313826560974	75	-81.876048422	40.1498394115	-12.3269490707	-175.796360343	56.8059487874	31.61881417	113.76295051	-44.3301824344	20.0	0.0	65	4940	1300	98800
88.1439323425293	76	-64.9808547808	30.7894105647	4.75343720104	-145.893691014	57.5836162237	29.1333605347	110.020335881	-47.3743498426	20.0	0.0	65	5005	1300	100100
89.26672720909119	77	-53.4860517113	40.0346265549	37.9960538871	-130.60981643	57.0724327058	32.6622691377	125.905847527	-35.4811657914	20.0	0.0	65	5070	1300	101400
90.3734986782074	78	-33.9654670602	27.2855459695	23.7870227995	-108.002506582	47.6586112189	25.7113437542	93.2741221599	-15.2521838925	20.0	0.0	65	5135	1300	102700
91.47829627990723	79	-21.3168445211	29.2825188059	38.6797885452	-91.8794551788	42.9778027057	39.660403552	121.441944122	-67.9532849331	20.0	0.0	65	5200	1300	104000
92.60009217262268	80	-7.69730648435	24.2618979706	47.0213067147	-66.4816367188	49.1540762022	25.2196724191	102.393702016	-4.94813129197	20.0	0.0	65	5265	1300	105300
93.74889206886292	81	-8.66115480982	25.8179030804	45.5402307818	-65.6717464668	47.292933463	27.55292264	103.223900196	-19.8584460048	20.0	0.0	65	5330	1300	106600
94.85869932174683	82	5.65561552474	23.0544155045	50.8358294257	-52.9362405519	42.7084296251	30.4687873599	101.388128007	-31.7897272703	20.0	0.0	65	5395	1300	107900
95.96747779846191	83	8.13652085579	25.2140649947	64.447631048	-50.7291413079	42.7724290732	27.4576884618	96.806614998	-17.9331446276	20.0	0.0	65	5460	1300	109200
97.07324814796448	84	11.235395962	23.057860161	57.5482632859	-56.9834527077	42.0117023049	27.7775871335	92.4693444289	-52.308960807	20.0	0.0	65	5525	1300	110500
98.17904996871948	85	8.93513611303	22.7073500693	53.2529376272	-48.8048870909	32.5785073047	27.772229238	88.2130043585	-21.2688691268	20.0	0.0	65	5590	1300	111800
99.2778205871582	86	10.6283318351	22.8714137006	52.9746131178	-44.0532550756	34.4770526404	25.5905668041	79.3736626766	-32.3636603609	20.0	0.0	65	5655	1300	113100
100.38862204551697	87	13.3597572368	22.8282236905	54.941816205	-49.4659015917	32.9753303891	24.4071890582	78.137761388	-54.9963979289	20.0	0.0	65	5720	1300	114400
101.5064959526062	88	17.4611144118	22.2500349811	70.2447863238	-32.6947376697	29.1076078728	26.9374668735	89.5846834476	-45.8943700937	20.0	0.0	65	5785	1300	115700
102.60727715492249	89	16.1228954223	20.0351645077	62.4737104674	-35.667028157	23.8278065855	24.2976471829	65.9703657332	-31.4864750019	20.0	0.0	65	5850	1300	117000
103.71306157112122	90	16.0945293393	18.7091989096	56.4342487429	-42.6980896767	19.5054689823	30.72093488	86.7839980871	-60.3224362171	20.0	0.0	65	5915	1300	118300
104.80885028839111	91	15.5544660484	18.4541377568	75.3184389284	-32.3909558903	9.50592058556	28.234571505	64.1378195659	-63.9033399201	20.0	0.0	65	5980	1300	119600
105.9106183052063	92	20.2660365227	18.8075763104	62.0499460626	-25.8838618331	10.2356817135	23.2851797871	57.9135314273	-37.2136844319	20.0	0.0	65	6045	1300	120900
107.0134129524231	93	18.3693351286	17.6504720932	61.9194220869	-22.5173739938	9.273771816	23.6749392616	66.297867394	-50.8317234898	20.0	0.0	65	6110	1300	122200
108.1121973991394	94	11.1069692527	18.2991656681	43.1500500041	-44.186596507	3.39906322992	27.2107513922	66.1441851175	-94.4413768305	20.0	0.0	65	6175	1300	123500
109.20796871185303	95	17.4425390715	14.3964157038	48.9098346591	-19.672212086	0.215515478323	23.984969235	49.9850977136	-56.5132619258	20.0	0.0	65	6240	1300	124800
110.30475163459778	96	11.3018877881	16.1011264161	56.4495941905	-24.5012663827	-6.79502499678	27.6044739043	41.4933483521	-71.1937407369	20.0	0.0	65	6305	1300	126100
111.40853714942932	97	13.1556991278	17.040325022	53.2438820304	-23.9165149113	-0.687897636529	28.3274024322	59.9511792217	-130.89687569	20.0	0.0	65	6370	1300	127400
112.50429391860962	98	14.132977728	18.3666484285	57.2502660678	-20.708108528	-11.1346634939	29.9160144112	53.5047529181	-99.1739530077	20.0	0.0	65	6435	1300	128700
113.59508466720581	99	16.214789602	16.1602445845	52.6054794278	-33.4011893005	-7.4767982777	27.4988471953	43.1563285342	-73.2638839941	20.0	0.0	65	6500	1300	130000
114.69886684417725	100	14.9402745233	15.486095879	54.0914511759	-15.428278278	-11.5989673995	24.0537690095	57.1144807768	-86.8443780233	20.0	0.0	65	6565	1300	131300
115.79662799835205	101	16.163092058	13.1122465892	56.8102142655	-9.13548904922	-13.8794706714	29.9272734291	39.541041177	-110.907679029	20.0	0.0	65	6630	1300	132600
116.88840126991272	102	18.3498901891	13.2862191413	49.786068931	-23.5089513357	-7.1934172264	24.8744357067	32.0000061003	-72.7002552776	20.0	0.0	65	6695	1300	133900
117.99420356750488	103	22.1160194515	16.8309915494	62.2453521474	-21.1596185426	-16.8767814173	28.257705278	37.6762904188	-90.3298133392	20.0	0.0	65	6760	1300	135200
119.0869779586792	104	24.8310240031	16.2393470136	59.935157717	-15.4781790867	-17.6842535329	31.10897025	42.5244056562	-104.831399299	20.0	0.0	65	6825	1300	136500
120.19274377822876	105	31.128216459	15.2035491758	66.0410525826	-1.10721815089	-11.4589563681	26.9281695466	46.3019021476	-79.291708156	20.0	0.0	65	6890	1300	137800
121.28853869438171	106	29.7061846812	16.2936896129	68.6670496196	-5.10871684404	-12.3229424304	30.3430595065	37.8695428489	-129.552039679	20.0	0.0	65	6955	1300	139100
122.3863525390625	107	33.814757804	15.3924310383	62.1320163228	-4.09816843751	-12.1487125185	28.6162820691	39.9063616467	-103.154892784	20.0	0.0	65	7020	1300	140400
123.47813892364502	108	40.7298247681	15.2599401404	70.9942247548	9.89163293694	-15.1390238684	25.2248201873	24.7631497234	-83.1401771231	20.0	0.0	65	7085	1300	141700
124.58194851875305	109	37.6313984933	16.1619167055	78.4855971415	1.81187660454	-14.2660192775	26.3041458903	32.3274764548	-84.3637916594	20.0	0.0	65	7150	1300	143000
125.67773008346558	110	47.2187149805	17.0008612123	87.068383477	3.26254845949	-14.307881435	30.5906383204	40.2969632414	-106.700310705	20.0	0.0	65	7215	1300	144300
126.76651954650879	111	49.4956735477	16.5876770828	92.093761196	14.6668634921	-18.3752900697	24.5853462522	26.1674740349	-89.532990061	20.0	0.0	65	7280	1300	145600
127.86429357528687	112	51.0889692497	17.2883492072	84.4120196687	-17.7036472162	-12.6106050378	27.2728041906	36.0545430894	-87.7382183097	20.0	0.0	65	7345	1300	146900
128.96007251739502	113	54.8517436486	14.6718451586	85.7127702128	20.69852367	-16.6018270679	31.4981772231	31.871980332	-103.287238309	20.0	0.0	65	7410	1300	148200
130.08285403251648	114	57.7712858149	16.3023269911	96.4640392831	22.8740745742	-16.674489657	25.0330606916	30.8259624427	-79.418648061	20.0	0.0	65	7475	1300	149500
131.19265842437744	115	59.6368252107	16.2130677605	97.13884243	9.25236891055	-9.44882961537	27.3954049232	33.6754037124	-80.7635403662	20.0	0.0	65	7540	1300	150800
132.30848503112793	116	66.0739705073	16.8620482294	115.175666869	21.6062807905	-11.9816623041	22.1912698776	34.1390915585	-70.968303782	20.0	0.0	65	7605	1300	152100
133.405264377594	117	63.5481145426	18.3868954637	105.025917664	15.5635919373	-10.4314507796	25.1158474534	52.5514286034	-80.8209517179	20.0	0.0	65	7670	1300	153400
134.5050401687622	118	67.2769838996	16.6546813602	103.864659398	33.0486891319	-8.34015129305	27.2881807334	40.9985651027	-95.4639659669	20.0	0.0	65	7735	1300	154700
135.61281180381775	119	66.1343347678	17.3426021921	104.934401929	28.6410428692	-8.12614403461	27.8385317053	46.4333967658	-81.994269139	20.0	0.0	65	7800	1300	156000
136.71360635757446	120	65.940666022	14.7571514386	92.3265868176	33.3921976884	3.90623430004	23.5373372585	56.0147253252	-53.4211689897	20.0	0.0	65	7865	1300	157300
137.80838179588318	121	61.9280463617	14.2814309851	91.703710117	17.4520474369	3.62205148363	23.3377984936	48.9250872325	-51.9215292803	20.0	0.0	65	7930	1300	158600
138.9021451473236	122	56.8801448625	13.8206406692	94.9723355002	25.9168033972	-2.43918048551	26.9894642902	52.9178348192	-89.1291600285	20.0	0.0	65	7995	1300	159900
140.0019407272339	123	57.6008206104	16.3306755681	101.470297753	29.8752055881	8.30582092951	21.8440106772	61.5373498881	-46.2498945301	20.0	0.0	65	8060	1300	161200
141.0997154712677	124	53.2193799596	15.748367025	103.859874714	13.7126138581	10.1108471445	24.7314777939	70.7988911947	-51.9096108088	20.0	0.0	65	8125	1300	162500
142.19749355316162	125	53.2998359916	13.8236979761	88.2809577273	27.7930455075	12.0408245941	21.6089940603	57.3795712522	-45.9578686125	20.0	0.0	65	8190	1300	163800
143.29747319221497	126	50.7357046972	14.1921329597	79.4198085946	12.797309261	14.3807719432	21.6959258323	61.9969451731	-37.4195494252	20.0	0.0	65	8255	1300	165100
144.40024328231812	127	51.2478969613	13.2575067626	81.516031344	23.3150907112	16.18607863	17.7783046055	51.0834580303	-40.7730039616	20.0	0.0	65	8320	1300	166400
145.49203181266785	128	46.7224476316	13.592673551	85.1606474816	17.935048387	16.4665128087	17.589656668	45.8263808741	-41.6461961492	20.0	0.0	65	8385	1300	167700
146.58981251716614	129	47.9227540285	11.4900104797	81.1283082825	19.9160874521	16.1933550764	18.0673692304	54.8642845559	-28.7087799102	20.0	0.0	65	8450	1300	169000
147.68858814239502	130	48.5198403266	13.642800405	94.5562362443	11.1944132255	22.521656514	15.3737974135	52.7317079914	-18.9454568509	20.0	0.0	65	8515	1300	170300
148.7833502292633	131	48.2152680984	15.3337319694	96.9350325238	3.79009746547	23.4775725852	17.1839311253	54.3428286495	-24.7612396424	20.0	0.0	65	8580	1300	171600
149.88513088226318	132	53.5031492955	14.5221314162	83.0203437831	8.53709198649	26.9242094972	17.2611335176	56.7272063068	-27.3650986777	20.0	0.0	65	8645	1300	172900
150.99195623397827	133	56.8737668207	11.9183709938	91.225633134	28.9102031589	30.6315350957	14.4528268214	62.4227202317	-5.61004003241	20.0	0.0	65	8710	1300	174200
152.1037995815277	134	59.8597264965	14.0187491252	97.9459054498	31.8740542695	32.5345721441	17.4456635008	71.7541462482	-15.7624881904	20.0	0.0	65	8775	1300	175500
153.2225911617279	135	60.9834638308	13.3085219836	93.0030942361	25.6384060134	33.1603211497	15.3694607719	58.0053431952	-17.640786052	20.0	0.0	65	8840	1300	176800
154.33541679382324	136	65.2582123436	14.9048335443	102.409364262	30.3376163189	33.5015521506	17.7030623227	62.1152033243	-25.5108900646	20.0	0.0	65	8905	1300	178100
155.43217849731445	137	66.9166483076	13.5803730357	94.4438993312	34.3411420883	29.321427694	18.699770355	72.5768941457	-28.1346559585	20.0	0.0	65	8970	1300	179400
156.53997564315796	138	75.4940789493	13.9324073296	124.788428885	50.2595955014	34.5182308086	16.6443998744	70.6295597218	-24.7904757276	20.0	0.0	65	9035	1300	180700
157.64676451683044	139	78.7607176036	13.8228924497	107.587607076	35.8679136905	33.5345149751	16.3339523332	68.2422410593	-14.0536357873	20.0	0.0	65	9100	1300	182000
158.75153160095215	140	78.3657648168	13.4855014722	108.347586726	46.1079269729	31.5862502952	17.1513601048	75.5783777929	-3.03809689802	20.0	0.0	65	9165	1300	183300
159.84930896759033	141	81.5129268242	15.2145367049	112.022386892	34.3103923047	29.0048809816	21.776777814	75.3687094691	-40.3747966164	20.0	0.0	65	9230	1300	184600
160.97412014007568	142	79.9505071221	12.8807485603	113.884165923	46.5877455609	24.3369272887	17.6258653241	62.091984696	-24.2486829798	20.0	0.0	65	9295	1300	185900
162.0879135131836	143	85.6186959637	13.5063658683	108.609527584	54.6165733811	32.6403307378	12.5609972775	74.2625399787	-5.00984027868	20.0	0.0	65	9360	1300	187200
163.199697971344	144	86.5149003238	16.4642894338	115.909502297	41.2203966413	30.4032427232	17.6181024279	63.1263434124	-9.72936531991	20.0	0.0	65	9425	1300	188500
164.3264832496643	145	85.3099101654	13.9004088355	116.935120165	55.5300013514	32.2257926189	15.3078766439	67.6292688728	-14.8372394412	20.0	0.0	65	9490	1300	189800
165.44927978515625	146	88.5976050525	12.8817295144	117.903808166	59.6337850723	35.7719986803	19.1011379618	70.9758766854	-32.1554494516	20.0	0.0	65	9555	1300	191100
166.58111000061035	147	84.0968525153	14.0025793457	116.434422044	37.2868781145	37.421124036	17.1863800095	79.2354260121	-5.96176666983	20.0	0.0	65	9620	1300	192400
167.69989204406738	148	82.2442059518	12.9142530894	113.810099367	56.1501682932	43.8818803414	15.7742237364	85.532940871	6.59022234446	20.0	0.0	65	9685	1300	193700
168.83168959617615	149	75.5713277724	14.9968162701	106.610908879	38.8033339058	35.7377174017	16.1441472171	69.1635363399	-0.0751026248627	20.0	0.0	65	9750	1300	195000
169.9674994945526	150	71.3889891949	14.9451239084	100.446779945	40.6182253209	44.2960917034	12.8295768068	71.3307080658	8.365733215	20.0	0.0	65	9815	1300	196300
171.0922977924347	151	62.0294534905	18.0461538783	105.710659452	11.5728511194	50.4101644593	14.6446233662	79.4209570675	20.8871906786	20.0	0.0	65	9880	1300	197600
172.2200939655304	152	50.7743372579	17.6632431139	93.9991329147	11.9639906167	51.0608771025	13.3196458508	81.1043916201	26.2827721885	20.0	0.0	65	9945	1300	198900
173.33587288856506	153	41.9062160013	17.0322590178	81.6182904328	1.67313542223	49.5182210544	15.2585021039	77.464121532	12.685328748	20.0	0.0	65	10010	1300	200200
174.45466375350952	154	31.0574777645	18.7936541582	67.8251199575	-39.7296253185	52.0466627611	17.9463099935	85.1694105029	11.2415341254	20.0	0.0	65	10075	1300	201500
175.58147644996643	155	16.8460076032	27.0403592434	77.2793636736	-59.9799863532	52.3285975214	14.9439237435	89.3651386618	12.1792947451	20.0	0.0	65	10140	1300	202800
176.7043125629425	156	21.4999354407	22.8905906443	65.1348076741	-45.5654725069	49.4017874418	15.9896048658	80.6165261504	-12.1648238125	20.0	0.0	65	10205	1300	204100
177.83013224601746	157	16.6399585129	22.546631565	67.4642770154	-28.7673602799	45.4736000155	17.1628648348	75.0830461347	3.407301926	20.0	0.0	65	10270	1300	205400
178.94894289970398	158	19.5805767801	21.6167086609	70.6926168713	-34.3723351229	43.9779549718	17.9341723059	82.4725893464	1.66579966641	20.0	0.0	65	10335	1300	206700
180.07174015045166	159	35.295496521	20.0034246953	71.262550572	-31.2612943424	44.8739549474	16.3361784467	77.8390496477	1.9667025358	20.0	0.0	65	10400	1300	208000
181.20153999328613	160	41.7971010832	19.5639724448	74.5389021796	-7.76661621209	37.2310676898	19.3181953043	85.546045559	-15.8440325261	20.0	0.0	65	10465	1300	209300
