Time	Iteration	AverageReturn1	StdReturn1	MaxReturn1	MinReturn1	AverageReturn2	StdReturn2	MaxReturn2	MinReturn2	AverageTotalReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
5.2201762199401855	0	-4334.90119221	161.135048336	-3848.74098103	-4707.31899229	-2132.86998811	705.843832456	-190.574344215	-4867.30017287	-6467.77118032	696.255265068	-4636.05468815	-9156.30746398	50.0	0.0	52	52	2600	2600
7.936137437820435	1	-4257.02076398	161.938925284	-3870.91321699	-4624.70221539	-2107.11875574	739.972738111	-810.175943327	-4915.66036088	-6364.13951972	734.989729801	-5096.84871488	-9113.21979605	50.0	0.0	52	104	2600	5200
10.51833963394165	2	-4178.86249173	197.188422494	-3685.9540235	-4645.08864098	-2090.46007926	540.764303215	-783.094615716	-3055.03215218	-6269.322571	538.446158511	-4941.49854892	-7283.19770341	50.0	0.0	52	156	2600	7800
13.033841848373413	3	-4109.71710059	192.03227421	-3466.27987011	-4504.83288482	-2077.16203292	677.55601841	-649.569261362	-3150.23459691	-6186.87913351	639.374374296	-4974.67829777	-7400.89395912	50.0	0.0	52	208	2600	10400
15.606737613677979	4	-4078.54012122	174.040296765	-3697.3531909	-4452.98835992	-1895.15378861	790.322041003	-336.524173681	-3064.50120216	-5973.69390984	739.995918499	-4581.62574272	-7081.67644093	50.0	0.0	52	260	2600	13000
18.19563341140747	5	-3999.43532072	155.99830515	-3631.3024453	-4242.4694417	-2078.89782925	803.476105838	-447.21398999	-3211.80487612	-6078.33314997	739.661532159	-4662.62640344	-7132.27939744	50.0	0.0	52	312	2600	15600
20.81657123565674	6	-3972.44220587	166.540302334	-3645.48789955	-4321.41043575	-1969.70434937	877.425725741	-45.2252677568	-3143.85915518	-5942.14655524	836.986820784	-4077.4374546	-7191.65231668	50.0	0.0	52	364	2600	18200
23.36777639389038	7	-3942.47338065	170.706333266	-3649.62983556	-4316.29355119	-2166.09764172	851.060969723	-115.380580469	-3403.77709306	-6108.57102238	827.734622425	-4077.91877874	-7445.62036831	50.0	0.0	52	416	2600	20800
