Time	Iteration	AverageReturn1	StdReturn1	MaxReturn1	MinReturn1	AverageReturn2	StdReturn2	MaxReturn2	MinReturn2	AverageTotalReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
4.723518371582031	0	-5951.92235673	1515.42260672	-3052.69644971	-8915.71764066	-3129.99491605	596.2509677	-826.337722443	-3929.76561489	-9081.91727278	1727.99733603	-4376.35230436	-12142.3304999	50.0	0.0	52	52	2600	2600
7.020723104476929	1	-6044.59749011	1256.67822334	-2609.42055371	-8880.68405941	-3007.60218075	631.158254835	-1110.02436134	-4154.4968692	-9052.19967086	1622.86250349	-3719.44491505	-12247.2983601	50.0	0.0	52	104	2600	5200
9.145731449127197	2	-6411.81988126	1261.6687945	-3720.17289058	-9112.50880696	-2864.73301361	496.635504947	-1377.2263881	-3638.2919041	-9276.55289487	1546.71646666	-5936.70815379	-12524.1358105	50.0	0.0	52	156	2600	7800
11.23950481414795	3	-6291.72534977	1401.67794939	-2777.99516959	-9407.5556716	-2460.4179431	655.365486788	-973.159024572	-3489.43939705	-8752.14329286	1969.64474593	-3885.05848584	-12889.8506008	50.0	0.0	52	208	2600	10400
13.317670583724976	4	-6658.00988434	1122.4251093	-4589.32315981	-9649.08869876	-2738.8143293	455.269272701	-1545.76624343	-3671.7672835	-9396.82421364	1511.0908625	-6151.36012158	-13116.9326656	50.0	0.0	52	260	2600	13000
15.411440372467041	5	-6440.4208805	1119.16253089	-3746.49175735	-9093.09053119	-2604.30852384	585.970962342	-340.604511294	-3949.29118954	-9044.72940434	1620.32120409	-4087.09626865	-12349.5377118	50.0	0.0	52	312	2600	15600
17.461951732635498	6	-6768.6310409	1086.60141924	-3532.56791096	-9284.2166082	-2978.98456035	554.318256769	-1610.71207428	-3977.14273208	-9747.61560125	1563.48059385	-5143.27998523	-12807.4322077	50.0	0.0	52	364	2600	18200
19.508850812911987	7	-6275.71617277	1385.11688307	-2823.69988611	-8881.11728152	-2857.62102636	826.287235557	-627.997631735	-4191.69741871	-9133.33719913	2138.70439125	-3505.98786986	-12919.0737181	50.0	0.0	52	416	2600	20800
21.572325468063354	8	-5985.59350267	1180.98543813	-2514.59985106	-8102.9681141	-2711.87979926	862.724387483	-433.189231075	-3916.93575309	-8697.47330193	1968.03621954	-3074.94685104	-11952.5191879	50.0	0.0	52	468	2600	23400
23.634850025177002	9	-5987.00278632	1051.7928978	-2549.00219391	-7781.28244905	-2931.78208472	678.395057393	-1240.69181123	-4240.7690834	-8918.78487105	1620.59642349	-3895.83700605	-11369.1993642	50.0	0.0	52	520	2600	26000
